	1	2
0	654.0	685.0
1	639.0	642.0
2	685.0	660.0
3	651.0	612.0
4	697.0	703.0
5	695.0	646.0
6	692.0	650.0
7	683.0	617.0
8	687.0	710.0
9	686.0	669.0
10	687.0	676.0
11	705.0	620.0
12	717.0	642.0
13	729.0	636.0
14	643.0	653.0
15	677.0	642.0
16	688.0	606.0
17	643.0	636.0
18	643.0	628.0
19	662.0	663.0
20	687.0	656.0
21	691.0	662.0
22	621.0	680.0
23	656.0	614.0
24	680.0	650.0
25	656.0	627.0
26	634.0	671.0
27	703.0	700.0
28	664.0	668.0
29	684.0	648.0
30	655.0	580.0
31	649.0	593.0
32	665.0	668.0
33	601.0	685.0
34	649.0	615.0
35	627.0	643.0
36	686.0	647.0
37	690.0	652.0
38	638.0	664.0
39	647.0	629.0
40	652.0	583.0
41	668.0	641.0
42	649.0	660.0
43	668.0	617.0
44	661.0	661.0
45	641.0	661.0
46	684.0	643.0
47	669.0	643.0
48	588.0	640.0
49	663.0	657.0
50	694.0	649.0
51	685.0	640.0
52	652.0	635.0
53	672.0	592.0
54	670.0	581.0
55	664.0	608.0
56	695.0	606.0
57	590.0	647.0
58	638.0	625.0
59	643.0	627.0
60	664.0	579.0
61	657.0	622.0
62	656.0	640.0
63	637.0	621.0
64	666.0	639.0
65	671.0	656.0
66	649.0	620.0
67	637.0	585.0
68	637.0	624.0
69	630.0	628.0
70	648.0	603.0
71	638.0	605.0
72	661.0	638.0
73	595.0	626.0
74	627.0	624.0
75	646.0	638.0
76	675.0	645.0
77	642.0	659.0
78	661.0	624.0
79	672.0	602.0
80	692.0	660.0
81	677.0	641.0
82	625.0	599.0
83	652.0	624.0
84	641.0	597.0
85	683.0	636.0
86	604.0	606.0
87	661.0	616.0
88	589.0	637.0
89	629.0	624.0
90	623.0	596.0
91	634.0	584.0
92	653.0	673.0
93	651.0	592.0
94	658.0	626.0
95	645.0	606.0
96	682.0	635.0
97	651.0	590.0
98	616.0	618.0
99	634.0	611.0
100	664.0	638.0
101	660.0	628.0
102	621.0	636.0
103	662.0	645.0
104	620.0	620.0
105	666.0	613.0
106	627.0	618.0
107	633.0	638.0
108	592.0	651.0
109	620.0	628.0
110	642.0	619.0
111	621.0	603.0
112	685.0	624.0
113	639.0	612.0
114	597.0	616.0
115	594.0	619.0
116	628.0	666.0
117	655.0	622.0
118	603.0	607.0
119	645.0	649.0
120	635.0	617.0
121	620.0	659.0
122	626.0	586.0
123	631.0	612.0
124	659.0	661.0
125	645.0	609.0
126	593.0	646.0
127	599.0	625.0
128	648.0	660.0
129	600.0	622.0
130	605.0	620.0
131	618.0	623.0
132	655.0	634.0
133	630.0	647.0
134	586.0	622.0
135	642.0	632.0
136	630.0	632.0
137	613.0	611.0
138	654.0	613.0
139	614.0	631.0
140	627.0	635.0
141	654.0	633.0
142	607.0	621.0
143	615.0	626.0
144	662.0	645.0
145	602.0	649.0
146	639.0	641.0
147	590.0	686.0
148	635.0	602.0
149	625.0	618.0
150	621.0	646.0
151	609.0	619.0
152	647.0	606.0
153	589.0	608.0
154	648.0	634.0
155	637.0	610.0
156	609.0	593.0
157	609.0	637.0
158	590.0	616.0
159	648.0	629.0
160	608.0	605.0
161	635.0	636.0
162	601.0	580.0
163	572.0	642.0
164	567.0	605.0
165	621.0	588.0
166	650.0	585.0
167	590.0	579.0
168	604.0	615.0
169	607.0	600.0
170	587.0	603.0
171	612.0	593.0
172	612.0	592.0
173	600.0	622.0
174	589.0	592.0
175	638.0	607.0
176	571.0	577.0
177	604.0	555.0
178	566.0	592.0
179	593.0	557.0
180	616.0	592.0
181	613.0	618.0
182	569.0	580.0
183	589.0	597.0
184	581.0	548.0
185	579.0	591.0
186	614.0	582.0
187	558.0	549.0
188	626.0	573.0
189	534.0	551.0
190	592.0	580.0
191	595.0	600.0
192	580.0	603.0
193	590.0	602.0
194	616.0	600.0
195	561.0	591.0
196	569.0	591.0
197	549.0	596.0
198	560.0	576.0
199	567.0	570.0
200	562.0	597.0
201	570.0	605.0
202	622.0	596.0
203	613.0	576.0
204	570.0	570.0
205	583.0	612.0
206	568.0	599.0
207	580.0	574.0
208	600.0	597.0
209	621.0	565.0
210	577.0	611.0
211	534.0	523.0
212	590.0	562.0
213	566.0	613.0
214	586.0	575.0
215	565.0	573.0
216	610.0	555.0
217	585.0	600.0
218	549.0	559.0
219	568.0	570.0
220	606.0	554.0
221	584.0	581.0
222	564.0	579.0
223	567.0	543.0
224	540.0	554.0
225	583.0	561.0
226	605.0	576.0
227	567.0	547.0
228	555.0	540.0
229	559.0	591.0
230	561.0	578.0
231	602.0	604.0
232	566.0	583.0
233	534.0	567.0
234	569.0	611.0
235	582.0	586.0
236	555.0	564.0
237	552.0	584.0
238	550.0	553.0
239	548.0	528.0
240	608.0	532.0
241	537.0	538.0
242	588.0	557.0
243	541.0	563.0
244	555.0	553.0
245	584.0	514.0
246	582.0	541.0
247	527.0	554.0
248	551.0	549.0
249	602.0	519.0
250	602.0	514.0
251	612.0	559.0
252	545.0	593.0
253	530.0	531.0
254	595.0	546.0
255	534.0	608.0
256	603.0	615.0
257	562.0	541.0
258	565.0	524.0
259	539.0	540.0
260	557.0	512.0
261	515.0	569.0
262	539.0	565.0
263	555.0	576.0
264	543.0	538.0
265	548.0	582.0
266	547.0	508.0
267	543.0	572.0
268	514.0	569.0
269	530.0	551.0
270	570.0	588.0
271	549.0	527.0
272	550.0	512.0
273	565.0	550.0
274	535.0	566.0
275	543.0	531.0
276	583.0	583.0
277	559.0	570.0
278	600.0	558.0
279	539.0	549.0
280	554.0	533.0
281	546.0	566.0
282	532.0	551.0
283	557.0	577.0
284	563.0	572.0
285	553.0	523.0
286	563.0	539.0
287	547.0	554.0
288	520.0	528.0
289	554.0	546.0
290	558.0	559.0
291	543.0	527.0
292	529.0	517.0
293	572.0	523.0
294	516.0	493.0
295	537.0	578.0
296	522.0	544.0
297	555.0	559.0
298	559.0	553.0
299	533.0	568.0
300	505.0	537.0
301	513.0	545.0
302	558.0	525.0
303	517.0	483.0
304	539.0	548.0
305	517.0	518.0
306	532.0	557.0
307	505.0	559.0
308	575.0	523.0
309	534.0	520.0
310	511.0	516.0
311	547.0	505.0
312	532.0	545.0
313	492.0	520.0
314	514.0	552.0
315	561.0	540.0
316	524.0	503.0
317	544.0	531.0
318	544.0	499.0
319	533.0	505.0
320	526.0	507.0
321	546.0	488.0
322	536.0	541.0
323	555.0	545.0
324	527.0	522.0
325	491.0	502.0
326	516.0	489.0
327	533.0	510.0
328	526.0	523.0
329	501.0	492.0
330	534.0	560.0
331	493.0	502.0
332	510.0	526.0
333	530.0	499.0
334	447.0	528.0
335	509.0	537.0
336	482.0	499.0
337	482.0	490.0
338	547.0	513.0
339	491.0	530.0
340	544.0	537.0
341	524.0	511.0
342	526.0	544.0
343	532.0	515.0
344	545.0	536.0
345	501.0	516.0
346	502.0	513.0
347	544.0	546.0
348	515.0	496.0
349	555.0	486.0
350	482.0	514.0
351	502.0	494.0
352	458.0	520.0
353	488.0	482.0
354	489.0	507.0
355	516.0	532.0
356	542.0	536.0
357	526.0	526.0
358	577.0	537.0
359	584.0	479.0
360	689.0	657.0
361	744.0	656.0
362	854.0	766.0
363	1002.0	859.0
364	1306.0	977.0
365	1696.0	1295.0
366	2424.0	1518.0
367	3226.0	2044.0
368	4344.0	2534.0
369	5728.0	3193.0
370	7306.0	3957.0
371	9439.0	4848.0
372	11769.0	5912.0
373	13813.0	6838.0
374	16286.0	7829.0
375	18509.0	8689.0
376	20179.0	9367.0
377	21687.0	10150.0
378	23020.0	10769.0
379	23667.0	11338.0
380	24868.0	11236.0
381	25083.0	11776.0
382	25004.0	11972.0
383	25551.0	12145.0
384	25215.0	12282.0
385	25638.0	12541.0
386	25365.0	12691.0
387	25228.0	12636.0
388	25299.0	13025.0
389	25212.0	12699.0
390	24815.0	13036.0
391	25071.0	13317.0
392	24712.0	13198.0
393	24942.0	13351.0
394	24605.0	13417.0
395	24289.0	13608.0
396	24587.0	13813.0
397	24244.0	13879.0
398	24369.0	13878.0
399	24192.0	13948.0
400	23990.0	13964.0
401	23921.0	14190.0
402	23862.0	14254.0
403	24361.0	14281.0
404	24089.0	14443.0
405	24203.0	14427.0
406	23712.0	14604.0
407	23996.0	14870.0
408	23705.0	15068.0
409	23783.0	14867.0
410	23749.0	15048.0
411	23675.0	15040.0
412	23323.0	15067.0
413	23556.0	15100.0
414	23372.0	15081.0
415	23666.0	15149.0
416	23405.0	15284.0
417	23053.0	15215.0
418	23296.0	15571.0
419	23136.0	15486.0
420	23047.0	15574.0
421	23092.0	15674.0
422	22683.0	15582.0
423	22887.0	15766.0
424	22703.0	15591.0
425	22531.0	15636.0
426	22502.0	15769.0
427	22658.0	15763.0
428	22697.0	16030.0
429	22310.0	15860.0
430	22224.0	15792.0
431	22410.0	15900.0
432	22163.0	15795.0
433	22141.0	15885.0
434	22312.0	15884.0
435	22132.0	16094.0
436	21975.0	16225.0
437	21909.0	16052.0
438	22058.0	16261.0
439	22021.0	16103.0
440	21652.0	16438.0
441	21264.0	16308.0
442	21506.0	16314.0
443	21700.0	16021.0
444	21859.0	16241.0
445	21312.0	16519.0
446	21276.0	16481.0
447	21238.0	16076.0
448	21468.0	16112.0
449	21127.0	16365.0
450	21114.0	16268.0
451	21090.0	16560.0
452	21011.0	16531.0
453	20832.0	16266.0
454	20620.0	16356.0
455	20774.0	16721.0
456	20879.0	16331.0
457	20440.0	16296.0
458	20686.0	16560.0
459	20458.0	16426.0
460	20164.0	16452.0
461	20308.0	16481.0
462	20358.0	16395.0
463	20375.0	16341.0
464	20246.0	16362.0
465	20206.0	16585.0
466	20150.0	16600.0
467	19906.0	16331.0
468	19978.0	16346.0
469	19982.0	16463.0
470	19707.0	16520.0
471	19825.0	16439.0
472	19561.0	16798.0
473	19626.0	16286.0
474	19729.0	16466.0
475	19443.0	16177.0
476	19454.0	16537.0
477	19287.0	16293.0
478	19281.0	16646.0
479	19278.0	16473.0
480	19535.0	16284.0
481	19193.0	16308.0
482	19077.0	16389.0
483	19465.0	16259.0
484	18977.0	16442.0
485	19185.0	16365.0
486	18853.0	16486.0
487	18815.0	16242.0
488	18881.0	16520.0
489	18769.0	16418.0
490	19137.0	16266.0
491	18722.0	16339.0
492	18732.0	16013.0
493	18942.0	16489.0
494	18784.0	16389.0
495	18436.0	16119.0
496	18414.0	16401.0
497	18191.0	16436.0
498	18521.0	16178.0
499	18466.0	16229.0
500	18208.0	16194.0
501	18174.0	16148.0
502	18310.0	16342.0
503	18161.0	16125.0
504	17933.0	16218.0
505	18090.0	16003.0
506	18037.0	16055.0
507	18070.0	16205.0
508	18026.0	16019.0
509	17853.0	16118.0
510	18034.0	16212.0
511	17839.0	16102.0
512	17891.0	16005.0
513	17627.0	16124.0
514	17663.0	15970.0
515	17613.0	16122.0
516	17772.0	16076.0
517	17372.0	15891.0
518	17548.0	16121.0
519	17332.0	15979.0
520	17602.0	15704.0
521	17347.0	15953.0
522	17438.0	15773.0
523	17233.0	16128.0
524	17420.0	15842.0
525	17351.0	15723.0
526	17368.0	15781.0
527	17492.0	15714.0
528	17318.0	15766.0
529	17088.0	15826.0
530	16942.0	15724.0
531	17108.0	15835.0
532	16925.0	15819.0
533	16945.0	15771.0
534	17125.0	15563.0
535	17054.0	15810.0
536	17020.0	15915.0
537	17035.0	15456.0
538	16875.0	15822.0
539	16971.0	15721.0
540	16726.0	15817.0
541	16801.0	15607.0
542	16688.0	15684.0
543	16705.0	15759.0
544	16836.0	15869.0
545	16658.0	15384.0
546	16841.0	15561.0
547	16659.0	15668.0
548	16591.0	15333.0
549	16511.0	15507.0
550	16410.0	15701.0
551	16633.0	15456.0
552	16672.0	15638.0
553	16450.0	15300.0
554	16602.0	15348.0
555	16333.0	15176.0
556	16416.0	15542.0
557	16137.0	15262.0
558	16522.0	15398.0
559	16024.0	15358.0
560	16248.0	15128.0
561	16282.0	15370.0
562	16147.0	15282.0
563	16153.0	15345.0
564	16189.0	15233.0
565	16166.0	15199.0
566	16210.0	15123.0
567	15796.0	15345.0
568	15938.0	15206.0
569	16022.0	15018.0
570	15837.0	14950.0
571	15914.0	14986.0
572	15638.0	15311.0
573	15956.0	14902.0
574	15676.0	14969.0
575	15753.0	15265.0
576	15738.0	15199.0
577	15673.0	15143.0
578	15786.0	14965.0
579	15551.0	14828.0
580	15603.0	14948.0
581	15774.0	15127.0
582	15572.0	14860.0
583	15669.0	14964.0
584	15840.0	14897.0
585	15715.0	15007.0
586	15330.0	14758.0
587	15604.0	14905.0
588	15386.0	14753.0
589	15561.0	14526.0
590	15342.0	14610.0
591	15477.0	14633.0
592	15393.0	14574.0
593	15442.0	14712.0
594	15270.0	14682.0
595	15380.0	14670.0
596	15192.0	14696.0
597	15164.0	14825.0
598	15375.0	14616.0
599	15283.0	14604.0
600	15231.0	14565.0
601	15203.0	14477.0
602	15197.0	14502.0
603	15128.0	14500.0
604	15165.0	14641.0
605	15071.0	14679.0
606	14993.0	14499.0
607	14957.0	14544.0
608	14910.0	14336.0
609	14836.0	14291.0
610	14703.0	14370.0
611	15138.0	14433.0
612	14779.0	14400.0
613	14895.0	14345.0
614	14667.0	14314.0
615	14619.0	14104.0
616	14743.0	14372.0
617	14717.0	14363.0
618	14690.0	14116.0
619	14441.0	14154.0
620	14717.0	14095.0
621	14737.0	14176.0
622	14672.0	14110.0
623	14458.0	14303.0
624	14508.0	14250.0
625	14526.0	14262.0
626	14629.0	14190.0
627	14612.0	14088.0
628	14693.0	14118.0
629	14595.0	14165.0
630	14758.0	13920.0
631	14480.0	14006.0
632	14637.0	14105.0
633	14362.0	14084.0
634	14384.0	14013.0
635	14414.0	14016.0
636	14360.0	13932.0
637	14172.0	13918.0
638	14345.0	13972.0
639	14297.0	13962.0
640	14249.0	13878.0
641	14341.0	13563.0
642	13917.0	13999.0
643	14339.0	13916.0
644	14183.0	13634.0
645	14113.0	13924.0
646	14268.0	13725.0
647	14172.0	13779.0
648	14073.0	13827.0
649	14138.0	13637.0
650	14088.0	13599.0
651	14215.0	13662.0
652	13928.0	13680.0
653	13983.0	13734.0
654	13906.0	13464.0
655	14148.0	13627.0
656	13830.0	13782.0
657	13914.0	13427.0
658	13933.0	13377.0
659	13621.0	13373.0
660	13809.0	13219.0
661	13708.0	13305.0
662	13737.0	13569.0
663	13865.0	13311.0
664	13888.0	13721.0
665	13752.0	13276.0
666	13490.0	13395.0
667	13689.0	13546.0
668	13825.0	13292.0
669	13487.0	13276.0
670	13511.0	13181.0
671	13538.0	13375.0
672	13706.0	13458.0
673	13364.0	13267.0
674	13548.0	13010.0
675	13705.0	13462.0
676	13306.0	13333.0
677	13388.0	13114.0
678	13198.0	13178.0
679	13337.0	13130.0
680	13377.0	12966.0
681	13333.0	13248.0
682	13463.0	13159.0
683	13515.0	13048.0
684	13369.0	13196.0
685	13420.0	13050.0
686	13143.0	12979.0
687	13325.0	13094.0
688	13305.0	13169.0
689	13083.0	13034.0
690	13168.0	13017.0
691	12924.0	12987.0
692	13156.0	13052.0
693	13175.0	12841.0
694	13305.0	12981.0
695	13203.0	12983.0
696	12971.0	12989.0
697	13003.0	12906.0
698	13044.0	12882.0
699	13102.0	12985.0
700	12936.0	12915.0
701	13018.0	12731.0
702	13118.0	12777.0
703	13214.0	12845.0
704	13191.0	12831.0
705	12898.0	12875.0
706	12864.0	12760.0
707	12867.0	12449.0
708	12970.0	12702.0
709	12849.0	12602.0
710	12787.0	12583.0
711	12619.0	12358.0
712	12879.0	12734.0
713	12795.0	12779.0
714	12789.0	12453.0
715	12564.0	12605.0
716	12690.0	12522.0
717	12693.0	12553.0
718	12810.0	12518.0
719	12907.0	12429.0
720	12579.0	12555.0
721	12549.0	12399.0
722	12521.0	12481.0
723	12432.0	12504.0
724	12573.0	12355.0
725	12520.0	12563.0
726	12665.0	12325.0
727	12269.0	12144.0
728	12492.0	12379.0
729	12654.0	12558.0
730	12508.0	12281.0
731	12412.0	12321.0
732	12290.0	12486.0
733	12304.0	12241.0
734	12311.0	12336.0
735	12337.0	12189.0
736	12502.0	12233.0
737	12257.0	12246.0
738	12355.0	12161.0
739	12197.0	12224.0
740	12373.0	12093.0
741	12228.0	12309.0
742	12282.0	12223.0
743	12084.0	11994.0
744	12137.0	11924.0
745	12222.0	12046.0
746	12118.0	11997.0
747	12158.0	11992.0
748	12286.0	12046.0
749	12065.0	11941.0
750	12160.0	12073.0
751	12241.0	11774.0
752	12043.0	11948.0
753	11891.0	11859.0
754	12204.0	11683.0
755	11899.0	12022.0
756	12025.0	11798.0
757	11893.0	12020.0
758	12079.0	11672.0
759	12034.0	11743.0
760	11931.0	11754.0
761	11938.0	11697.0
762	11785.0	11678.0
763	11799.0	11688.0
764	11822.0	11791.0
765	11724.0	11471.0
766	11844.0	11702.0
767	11744.0	11687.0
768	11595.0	11724.0
